threshold,precision,recall,f1
0.4499999999999999,0.41150965707528575,0.7879245283018868,0.5406525116519938
0.4549999999999999,0.41309523809523807,0.7856603773584906,0.54148244473342
0.4599999999999999,0.4142059058260176,0.7833962264150943,0.5418950665622553
0.4649999999999999,0.4170692431561997,0.7818867924528302,0.5439747965345235
0.4699999999999999,0.41774716369529985,0.7781132075471698,0.5436330081729501
0.4749999999999999,0.4189079054604727,0.7758490566037736,0.5440592749404605
0.4799999999999999,0.42072920934043423,0.7750943396226415,0.5454062665958577
0.48499999999999993,0.42250618301731246,0.7735849056603774,0.5465209277525993
0.48999999999999994,0.423841059602649,0.7728301886792452,0.5474472066292435
0.49499999999999994,0.4260108378491038,0.7713207547169811,0.5488721804511278
0.49999999999999994,0.4270746018440905,0.7690566037735849,0.5491781191053624
0.5049999999999999,0.42887205387205385,0.7690566037735849,0.5506619832477708
0.5099999999999999,0.429776465626318,0.7690566037735849,0.5514069264069265
0.5149999999999999,0.43135593220338986,0.7683018867924528,0.5525101763907734
0.5199999999999999,0.43381725021349277,0.7667924528301887,0.5541314425961277
0.5249999999999999,0.4348757497857755,0.7660377358490567,0.5547963924569554
0.5299999999999999,0.43580936024044653,0.7660377358490567,0.5555555555555556
0.5349999999999999,0.43631669535283996,0.7652830188679245,0.5557687037544533
0.5399999999999999,0.43688065489013356,0.7652830188679245,0.5562260010970927
0.5449999999999999,0.43771626297577854,0.7637735849056604,0.5565026120428925
0.5499999999999999,0.43855840208423796,0.7622641509433963,0.5567805953693495
0.5549999999999999,0.4398430688753269,0.7615094339622641,0.5576126001657916
0.5599999999999999,0.44031482291211194,0.76,0.5575858250276855
0.565,0.44103463393248576,0.759245283018868,0.5579589572933998
0.57,0.44331715924128806,0.7584905660377359,0.5595768374164811
0.575,0.4450841452612932,0.7584905660377359,0.5609824169690204
0.58,0.445729537366548,0.7562264150943396,0.5608732157850546
0.585,0.4476744186046512,0.7554716981132076,0.5622016287559675
0.59,0.44923629829290207,0.7547169811320755,0.5632216277105041
0.595,0.4510158013544018,0.7539622641509434,0.5644067796610169
0.6,0.4525646845211076,0.7524528301886793,0.5651927437641724
0.605,0.4536741214057508,0.750188679245283,0.565415244596132
0.61,0.45504587155963305,0.7486792452830189,0.5660485021398003
0.615,0.45614035087719296,0.7456603773584906,0.5660269263821255
0.62,0.4595348837209302,0.7456603773584906,0.5686330935251799
0.625,0.46060606060606063,0.7456603773584906,0.5694524495677233
0.63,0.46153846153846156,0.7426415094339622,0.5692797223025745
0.635,0.4633915918752952,0.7403773584905661,0.5700174317257408
0.6399999999999999,0.46438746438746437,0.7381132075471698,0.5700961818711746
0.6449999999999999,0.4663162924032489,0.7366037735849057,0.5710942071386775
0.6499999999999999,0.46740172579098754,0.7358490566037735,0.5716798592788038
0.6549999999999999,0.4690522243713733,0.7320754716981132,0.5717653993516062
0.6599999999999999,0.4707887049659202,0.729811320754717,0.5723586860017756
0.6649999999999999,0.47125307125307125,0.7237735849056603,0.5708333333333333
0.6699999999999999,0.47326732673267324,0.7215094339622642,0.5715994020926757
0.6749999999999999,0.474025974025974,0.7162264150943396,0.5704839194469492
0.6799999999999999,0.47482376636455187,0.7116981132075472,0.5696164300815464
0.6849999999999999,0.4745676500508647,0.7041509433962264,0.5670009115770283
0.69,0.48037190082644626,0.7018867924528301,0.5703771849126035
0.695,0.4842602308499475,0.6966037735849057,0.571340142370783
0.7,0.4898395721925134,0.6913207547169812,0.57339593114241
0.705,0.49345692475463465,0.6830188679245283,0.572966128521684
0.71,0.49667405764966743,0.6762264150943397,0.5727069351230425
0.715,0.4988623435722412,0.6618867924528302,0.5689263704184236
0.72,0.5031921067904818,0.6543396226415095,0.5688976377952756
