policy,replication,readmission_rate,absolute_reduction,intervention_count
network_only,47,0.12061894108873975,0.001304996271439221,1073
risk_network,47,0.11297539149888143,0.008948545861297535,1073
random,48,0.12108501118568232,0.0028896346010439944,1073
feature_only,48,0.1111111111111111,0.012863534675615212,1073
risk_only,48,0.1111111111111111,0.012863534675615212,1073
network_only,48,0.122110365398956,0.0018642803877703118,1073
risk_network,48,0.11306860551826994,0.010906040268456374,1073
random,49,0.12229679343773303,0.002516778523489943,1073
feature_only,49,0.11129753914988814,0.01351603281133483,1073
risk_only,49,0.11129753914988814,0.01351603281133483,1073
network_only,49,0.12276286353467561,0.002050708426547365,1073
risk_network,49,0.11381431767337807,0.0109992542878449,1073
random,50,0.1185682326621924,0.0027964205816554816,1073
feature_only,50,0.11036539895600299,0.010999254287844887,1073
risk_only,50,0.11036539895600299,0.010999254287844887,1073
network_only,50,0.11987322893363161,0.0014914243102162605,1073
risk_network,50,0.11120432513049963,0.010160328113348244,1073
random,51,0.12406785980611484,0.0025167785234899154,1073
feature_only,51,0.11437360178970918,0.012211036539895581,1073
risk_only,51,0.11437360178970918,0.012211036539895581,1073
network_only,51,0.12490678598061149,0.0016778523489932723,1073
risk_network,51,0.116331096196868,0.010253542132736757,1073
random,52,0.12015287099179717,0.0020507084265473513,1073
feature_only,52,0.10859433258762118,0.013609246830723343,1073
risk_only,52,0.10859433258762118,0.013609246830723343,1073
network_only,52,0.11996644295302013,0.002237136465324391,1073
risk_network,52,0.1098993288590604,0.012304250559284122,1073
random,53,0.11772930648769575,0.0024235645041014164,1073
feature_only,53,0.10775540641312453,0.012397464578672635,1073
risk_only,53,0.10775540641312453,0.012397464578672635,1073
network_only,53,0.1185682326621924,0.0015846383296047734,1073
risk_network,53,0.10952647278150635,0.010626398210290822,1073
random,54,0.11847501864280388,0.002143922445935864,1073
feature_only,54,0.1081282624906786,0.012490678598061147,1073
risk_only,54,0.1081282624906786,0.012490678598061147,1073
network_only,54,0.11912751677852348,0.0014914243102162605,1073
risk_network,54,0.10971290082028337,0.010906040268456374,1073
random,55,0.11754287844891871,0.0017710663683818129,1073
feature_only,55,0.10756897837434751,0.011744966442953017,1073
risk_only,55,0.10756897837434751,0.011744966442953017,1073
network_only,55,0.11763609246830724,0.0016778523489932862,1073
risk_network,55,0.10915361670395228,0.010160328113348244,1073
random,56,0.12425428784489187,0.0023303504847128897,1073
feature_only,56,0.11465324384787472,0.011931394481730043,1073
risk_only,56,0.11465324384787472,0.011931394481730043,1073
network_only,56,0.12481357196122297,0.001771066368381785,1073
risk_network,56,0.11661073825503356,0.009973900074571204,1073
random,57,0.12229679343773303,0.0027964205816554955,1073
feature_only,57,0.11381431767337807,0.011278896346010453,1073
risk_only,57,0.11381431767337807,0.011278896346010453,1073
network_only,57,0.12360178970917227,0.0014914243102162605,1073
risk_network,57,0.11493288590604027,0.010160328113348258,1073
random,58,0.12173750932140194,0.0027032065622669688,1073
feature_only,58,0.11148396718866517,0.01295674869500374,1073
risk_only,58,0.11148396718866517,0.01295674869500374,1073
network_only,58,0.12285607755406414,0.0015846383296047734,1073
risk_network,58,0.11176360924683072,0.012677106636838187,1073
random,59,0.1186614466815809,0.0028896346010439944,1073
feature_only,59,0.1092468307233408,0.012304250559284108,1073
risk_only,59,0.1092468307233408,0.012304250559284108,1073
network_only,59,0.11950037285607755,0.0020507084265473513,1073
risk_network,59,0.11027218493661446,0.011278896346010439,1073
random,60,0.11819537658463833,0.0036353467561521247,1073
feature_only,60,0.10896718866517524,0.012863534675615212,1073
risk_only,60,0.10896718866517524,0.012863534675615212,1073
network_only,60,0.12005965697240865,0.001771066368381799,1073
risk_network,60,0.10980611483967188,0.01202460850111857,1073
random,61,0.1232289336316182,0.002703206562266955,1073
feature_only,61,0.11195003728560776,0.013982102908277394,1073
risk_only,61,0.11195003728560776,0.013982102908277394,1073
network_only,61,0.12444071588366891,0.0014914243102162467,1073
risk_network,61,0.11325503355704698,0.012677106636838173,1073
random,62,0.12416107382550336,0.0020507084265473513,1073
feature_only,62,0.1127889634601044,0.013422818791946303,1073
risk_only,62,0.1127889634601044,0.013422818791946303,1073
network_only,62,0.1238814317673378,0.0023303504847129036,1073
risk_network,62,0.11372110365398956,0.012490678598061147,1073
random,63,0.11940715883668904,0.0023303504847129036,1073
