seed,replication,policy,readmission_rate,absolute_reduction,intervention_count
42,23,risk_only,0.1122296793437733,0.012863534675615226,1073
42,23,network_only,0.12285607755406414,0.002237136465324391,1073
42,23,risk_network,0.11390753169276659,0.01118568232662194,1073
42,24,random,0.12145786726323639,0.0024235645041014164,1073
42,24,risk_only,0.11185682326621924,0.01202460850111857,1073
42,24,network_only,0.12201715137956749,0.0018642803877703118,1073
42,24,risk_network,0.11381431767337807,0.010067114093959731,1073
42,25,random,0.1186614466815809,0.0024235645041014164,1073
42,25,risk_only,0.10868754660700969,0.012397464578672635,1073
42,25,network_only,0.11940715883668904,0.0016778523489932862,1073
42,25,risk_network,0.11017897091722595,0.010906040268456374,1073
42,26,random,0.12080536912751678,0.002703206562266955,1073
42,26,risk_only,0.11073825503355705,0.012770320656226686,1073
42,26,network_only,0.12136465324384788,0.002143922445935864,1073
42,26,risk_network,0.11297539149888143,0.010533184190902309,1073
42,27,random,0.12015287099179717,0.0020507084265473513,1073
42,27,risk_only,0.11101789709172259,0.011185682326621926,1073
42,27,network_only,0.12071215510812826,0.0014914243102162605,1073
42,27,risk_network,0.11241610738255034,0.009787472035794179,1073
42,28,random,0.12061894108873975,0.0024235645041014164,1073
42,28,risk_only,0.1122296793437733,0.010812826249067861,1073
42,28,network_only,0.12173750932140194,0.001304996271439221,1073
42,28,risk_network,0.11381431767337807,0.009228187919463088,1073
42,29,random,0.11847501864280388,0.0027964205816554816,1073
42,29,risk_only,0.10803504847129008,0.013236390753169278,1073
42,29,network_only,0.11912751677852348,0.002143922445935878,1073
42,29,risk_network,0.10999254287844892,0.011278896346010439,1073
123,0,random,0.12360178970917227,0.0032624906785980456,1073
123,0,risk_only,0.11316181953765847,0.013702460850111842,1073
123,0,network_only,0.12574571215510813,0.0011185682326621815,1073
123,0,risk_network,0.11651752423564504,0.01034675615212527,1073
123,1,random,0.1185682326621924,0.002143922445935864,1073
123,1,risk_only,0.10999254287844892,0.010719612229679334,1073
123,1,network_only,0.11931394481730052,0.0013982102908277338,1073
123,1,risk_network,0.11176360924683072,0.008948545861297535,1073
123,2,random,0.12583892617449666,0.0018642803877703118,1073
123,2,risk_only,0.1145600298284862,0.013143176733780765,1073
123,2,network_only,0.1255592841163311,0.002143922445935864,1073
123,2,risk_network,0.11689038031319911,0.010812826249067861,1073
123,3,random,0.12248322147651007,0.0024235645041014164,1073
123,3,risk_only,0.11232289336316181,0.012583892617449674,1073
123,3,network_only,0.12239000745712156,0.0025167785234899293,1073
123,3,risk_network,0.11362788963460105,0.011278896346010439,1073
123,4,random,0.12416107382550336,0.0028896346010440083,1073
123,4,risk_only,0.11446681580909769,0.012583892617449674,1073
123,4,network_only,0.125,0.002050708426547365,1073
123,4,risk_network,0.11651752423564504,0.010533184190902323,1073
123,5,random,0.1186614466815809,0.002237136465324391,1073
123,5,risk_only,0.10840790454884415,0.012490678598061147,1073
123,5,network_only,0.12005965697240865,0.0008389261744966431,1073
123,5,risk_network,0.11036539895600299,0.010533184190902309,1073
123,6,random,0.11707680835197613,0.0023303504847129036,1073
123,6,risk_only,0.10803504847129008,0.011372110365398952,1073
123,6,network_only,0.11838180462341537,0.0010253542132736687,1073
123,6,risk_network,0.11073825503355705,0.008668903803131983,1073
123,7,random,0.12369500372856078,0.0027964205816554816,1073
123,7,risk_only,0.1145600298284862,0.011931394481730057,1073
123,7,network_only,0.12416107382550336,0.0023303504847129036,1073
123,7,risk_network,0.11605145413870246,0.010439970171513796,1073
123,8,random,0.12397464578672632,0.002982848620432521,1073
123,8,risk_only,0.11539895600298285,0.011558538404175991,1073
123,8,network_only,0.12481357196122297,0.002143922445935864,1073
123,8,risk_network,0.11642431021625653,0.010533184190902309,1073
123,9,random,0.12406785980611484,0.0023303504847128897,1073
123,9,risk_only,0.1133482475764355,0.013049962714392238,1073
123,9,network_only,0.125,0.0013982102908277338,1073
123,9,risk_network,0.11474645786726323,0.011651752423564504,1073
123,10,random,0.12080536912751678,0.002237136465324377,1073
123,10,risk_only,0.11139075316927666,0.011651752423564504,1073
123,10,network_only,0.12117822520507084,0.0018642803877703257,1073
123,10,risk_network,0.11250932140193885,0.010533184190902309,1073
123,11,random,0.11968680089485459,0.0027032065622669688,1073
123,11,risk_only,0.11092468307233408,0.011465324384787479,1073
123,11,network_only,0.12052572706935123,0.0018642803877703257,1073
123,11,risk_network,0.11288217747949292,0.00950782997762864,1073
123,12,random,0.12574571215510813,0.0024235645041014164,1073
123,12,risk_only,0.11614466815809098,0.01202460850111857,1073
123,12,network_only,0.12602535421327368,0.002143922445935864,1073
123,12,risk_network,0.11828859060402684,0.009880686055182705,1073
123,13,random,0.11530574198359433,0.0023303504847129036,1073
123,13,risk_only,0.1063571961222968,0.011278896346010439,1073
123,13,network_only,0.11595824011931395,0.0016778523489932862,1073
123,13,risk_network,0.10691648023862789,0.010719612229679348,1073
123,14,random,0.12220357941834452,0.0024235645041014164,1073
123,14,risk_only,0.1115771812080537,0.013049962714392238,1073
123,14,network_only,0.122110365398956,0.0025167785234899293,1073
123,14,risk_network,0.11250932140193885,0.012117822520507082,1073
123,15,random,0.12239000745712156,0.0018642803877703118,1073
123,15,risk_only,0.10999254287844892,0.014261744966442946,1073
123,15,network_only,0.12201715137956749,0.002237136465324377,1073
123,15,risk_network,0.1122296793437733,0.01202460850111857,1073
123,16,random,0.12145786726323639,0.0019574944071588385,1073
123,16,risk_only,0.11008575689783744,0.01332960477255779,1073
123,16,network_only,0.12201715137956749,0.0013982102908277338,1073
123,16,risk_network,0.11269574944071588,0.010719612229679348,1073
123,17,random,0.122110365398956,0.0028896346010439944,1073
123,17,risk_only,0.11213646532438479,0.012863534675615212,1073
123,17,network_only,0.1238814317673378,0.0011185682326621954,1073
123,17,risk_network,0.11381431767337807,0.011185682326621926,1073
123,18,random,0.1180089485458613,0.002982848620432507,1073
123,18,risk_only,0.10896718866517524,0.01202460850111857,1073
123,18,network_only,0.11940715883668904,0.0015846383296047734,1073
123,18,risk_network,0.11101789709172259,0.009973900074571218,1073
123,19,random,0.11959358687546608,0.001304996271439221,1073
123,19,risk_only,0.10766219239373602,0.013236390753169278,1073
123,19,network_only,0.1197800149142431,0.0011185682326621954,1073
123,19,risk_network,0.10961968680089486,0.011278896346010439,1073
123,20,random,0.1208985831469053,0.0023303504847129036,1073
123,20,risk_only,0.1111111111111111,0.012117822520507096,1073
123,20,network_only,0.12108501118568232,0.002143922445935878,1073
123,20,risk_network,0.11232289336316181,0.010906040268456388,1073
123,21,random,0.11922073079791201,0.002703206562266955,1073
123,21,risk_only,0.11055182699478001,0.011372110365398952,1073
123,21,network_only,0.12052572706935123,0.0013982102908277338,1073
123,21,risk_network,0.11204325130499627,0.009880686055182691,1073
123,22,random,0.11922073079791201,0.0023303504847128897,1073
123,22,risk_only,0.10915361670395228,0.01239746457867262,1073
123,22,network_only,0.12071215510812826,0.0008389261744966431,1073
123,22,risk_network,0.11101789709172259,0.010533184190902309,1073
123,23,random,0.11903430275913497,0.002982848620432521,1073
123,23,risk_only,0.10943325876211782,0.012583892617449674,1073
