policy,replication,n_patients,intervention_count,readmissions,readmission_rate,mean_transition_probability,no_intervention_readmissions,no_intervention_rate,prevented_vs_no_intervention,absolute_reduction,relative_reduction,intervention_efficiency
network_informed,19,10728,1073,1188,0.11073825503355705,0.11241783754658474,1295,0.12071215510812826,107,0.009973900074571204,0.08262548262548254,0.09972041006523766
no_intervention,20,10728,0,1340,0.12490678598061149,0.12342287122431879,1340,0.12490678598061149,0,0.0,0.0,
random,20,10728,1073,1310,0.122110365398956,0.12075887189780155,1340,0.12490678598061149,30,0.0027964205816554816,0.022388059701492543,0.027958993476234855
risk_based,20,10728,1073,1178,0.10980611483967188,0.11077668193383391,1340,0.12490678598061149,162,0.015100671140939603,0.12089552238805974,0.1509785647716682
network_informed,20,10728,1073,1196,0.11148396718866517,0.11241783754658474,1340,0.12490678598061149,144,0.013422818791946317,0.10746268656716425,0.1342031686859273
no_intervention,21,10728,0,1331,0.12406785980611484,0.12342287122431879,1331,0.12406785980611484,0,0.0,0.0,
random,21,10728,1073,1292,0.12043251304996272,0.12070659733075145,1331,0.12406785980611484,39,0.0036353467561521247,0.029301277235161526,0.036346691519105315
risk_based,21,10728,1073,1189,0.11083146905294557,0.11077668193383391,1331,0.12406785980611484,142,0.013236390753169278,0.10668670172802405,0.13233923578751164
network_informed,21,10728,1073,1204,0.1122296793437733,0.11241783754658474,1331,0.12406785980611484,127,0.011838180462341544,0.09541697971450043,0.11835973904939422
no_intervention,22,10728,0,1355,0.12630499627143923,0.12342287122431879,1355,0.12630499627143923,0,0.0,0.0,
random,22,10728,1073,1318,0.12285607755406414,0.12081342973343513,1355,0.12630499627143923,37,0.003448918717375099,0.02730627306273067,0.034482758620689655
risk_based,22,10728,1073,1221,0.11381431767337807,0.11077668193383391,1355,0.12630499627143923,134,0.012490678598061161,0.09889298892988939,0.12488350419384903
network_informed,22,10728,1073,1243,0.11586502609992543,0.11241783754658474,1355,0.12630499627143923,112,0.01043997017151381,0.08265682656826578,0.1043802423112768
no_intervention,23,10728,0,1362,0.12695749440715884,0.12342287122431879,1362,0.12695749440715884,0,0.0,0.0,
random,23,10728,1073,1332,0.12416107382550336,0.12079260518430339,1362,0.12695749440715884,30,0.0027964205816554816,0.02202643171806168,0.027958993476234855
risk_based,23,10728,1073,1224,0.11409395973154363,0.11077668193383391,1362,0.12695749440715884,138,0.012863534675615212,0.1013215859030837,0.12861136999068035
network_informed,23,10728,1073,1238,0.11539895600298285,0.11241783754658474,1362,0.12695749440715884,124,0.011558538404175991,0.09104258443465495,0.11556383970177074
no_intervention,24,10728,0,1329,0.1238814317673378,0.12342287122431879,1329,0.1238814317673378,0,0.0,0.0,
random,24,10728,1073,1297,0.1208985831469053,0.12090071651317191,1329,0.1238814317673378,32,0.002982848620432507,0.02407825432656128,0.02982292637465051
risk_based,24,10728,1073,1175,0.10952647278150635,0.11077668193383391,1329,0.1238814317673378,154,0.014354958985831459,0.1158765989465763,0.1435228331780056
network_informed,24,10728,1073,1199,0.11176360924683072,0.11241783754658474,1329,0.1238814317673378,130,0.012117822520507082,0.09781790820165537,0.1211556383970177
no_intervention,25,10728,0,1356,0.12639821029082773,0.12342287122431879,1356,0.12639821029082773,0,0.0,0.0,
random,25,10728,1073,1329,0.1238814317673378,0.12099650055014298,1356,0.12639821029082773,27,0.0025167785234899293,0.019911504424778733,0.02516309412861137
risk_based,25,10728,1073,1211,0.11288217747949292,0.11077668193383391,1356,0.12639821029082773,145,0.013516032811334816,0.10693215339233032,0.13513513513513514
